                                   Experiment        Metric  File     Value                         Model       CNN          RNN                     Phase
69         Evaluation-ResNet50_Mamba-best-Inc  Accuracy-2nd     5  0.044643       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
70         Evaluation-ResNet50_Mamba-best-Inc      Accuracy     1  0.944444       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
71         Evaluation-ResNet50_Mamba-best-Inc      Accuracy     2  0.909091       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
72         Evaluation-ResNet50_Mamba-best-Inc      Accuracy     3  0.901786       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
73         Evaluation-ResNet50_Mamba-best-Inc      Accuracy     4  0.960784       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
74         Evaluation-ResNet50_Mamba-best-Inc      Accuracy     5  0.955357       ResNet50-Mamba-best-Inc  ResNet50        Mamba                  Incision
75        Evaluation-ResNet50_Transformer-Inc  Accuracy-1st     1  0.953704      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
76        Evaluation-ResNet50_Transformer-Inc  Accuracy-1st     2  0.881818      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
77        Evaluation-ResNet50_Transformer-Inc  Accuracy-1st     3  0.919643      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
78        Evaluation-ResNet50_Transformer-Inc  Accuracy-1st     4  0.901961      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
79        Evaluation-ResNet50_Transformer-Inc  Accuracy-1st     5  0.955357      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
80        Evaluation-ResNet50_Transformer-Inc  Accuracy-2nd     1  0.046296      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
81        Evaluation-ResNet50_Transformer-Inc  Accuracy-2nd     2  0.118182      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
82        Evaluation-ResNet50_Transformer-Inc  Accuracy-2nd     3  0.080357      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
83        Evaluation-ResNet50_Transformer-Inc  Accuracy-2nd     4  0.098039      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
84        Evaluation-ResNet50_Transformer-Inc  Accuracy-2nd     5  0.044643      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
85        Evaluation-ResNet50_Transformer-Inc      Accuracy     1  0.953704      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
86        Evaluation-ResNet50_Transformer-Inc      Accuracy     2  0.881818      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
87        Evaluation-ResNet50_Transformer-Inc      Accuracy     3  0.919643      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
88        Evaluation-ResNet50_Transformer-Inc      Accuracy     4  0.901961      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
89        Evaluation-ResNet50_Transformer-Inc      Accuracy     5  0.955357      ResNet50-Transformer-Inc  ResNet50  Transformer                  Incision
90                 Evaluation-VGG16_BiGRU-Inc  Accuracy-1st     1  0.935185               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
91                 Evaluation-VGG16_BiGRU-Inc  Accuracy-1st     2  0.927273               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
92                 Evaluation-VGG16_BiGRU-Inc  Accuracy-1st     3  0.892857               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
93                 Evaluation-VGG16_BiGRU-Inc  Accuracy-1st     4  0.950980               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
94                 Evaluation-VGG16_BiGRU-Inc  Accuracy-1st     5  0.946429               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
95                 Evaluation-VGG16_BiGRU-Inc  Accuracy-2nd     1  0.064815               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
96                 Evaluation-VGG16_BiGRU-Inc  Accuracy-2nd     2  0.072727               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
97                 Evaluation-VGG16_BiGRU-Inc  Accuracy-2nd     3  0.107143               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
98                 Evaluation-VGG16_BiGRU-Inc  Accuracy-2nd     4  0.049020               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
99                 Evaluation-VGG16_BiGRU-Inc  Accuracy-2nd     5  0.053571               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
100                Evaluation-VGG16_BiGRU-Inc      Accuracy     1  0.935185               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
101                Evaluation-VGG16_BiGRU-Inc      Accuracy     2  0.927273               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
102                Evaluation-VGG16_BiGRU-Inc      Accuracy     3  0.892857               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
103                Evaluation-VGG16_BiGRU-Inc      Accuracy     4  0.950980               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
104                Evaluation-VGG16_BiGRU-Inc      Accuracy     5  0.946429               VGG16-BiGRU-Inc     VGG16        BiGRU                  Incision
105               Evaluation-VGG16_BiLSTM-Inc  Accuracy-1st     1  0.953704              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
106               Evaluation-VGG16_BiLSTM-Inc  Accuracy-1st     2  0.900000              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
107               Evaluation-VGG16_BiLSTM-Inc  Accuracy-1st     3  0.928571              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
108               Evaluation-VGG16_BiLSTM-Inc  Accuracy-1st     4  0.941176              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
109               Evaluation-VGG16_BiLSTM-Inc  Accuracy-1st     5  0.946429              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
110               Evaluation-VGG16_BiLSTM-Inc  Accuracy-2nd     1  0.046296              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
111               Evaluation-VGG16_BiLSTM-Inc  Accuracy-2nd     2  0.100000              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
112               Evaluation-VGG16_BiLSTM-Inc  Accuracy-2nd     3  0.071429              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
113               Evaluation-VGG16_BiLSTM-Inc  Accuracy-2nd     4  0.058824              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
114               Evaluation-VGG16_BiLSTM-Inc  Accuracy-2nd     5  0.053571              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
115               Evaluation-VGG16_BiLSTM-Inc      Accuracy     1  0.953704              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
116               Evaluation-VGG16_BiLSTM-Inc      Accuracy     2  0.900000              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
117               Evaluation-VGG16_BiLSTM-Inc      Accuracy     3  0.928571              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
118               Evaluation-VGG16_BiLSTM-Inc      Accuracy     4  0.941176              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
119               Evaluation-VGG16_BiLSTM-Inc      Accuracy     5  0.946429              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
120                  Evaluation-VGG16_GRU-Inc  Accuracy-1st     1  0.962963                 VGG16-GRU-Inc     VGG16          GRU                  Incision
121                  Evaluation-VGG16_GRU-Inc  Accuracy-1st     2  0.918182                 VGG16-GRU-Inc     VGG16          GRU                  Incision
122                  Evaluation-VGG16_GRU-Inc  Accuracy-1st     3  0.901786                 VGG16-GRU-Inc     VGG16          GRU                  Incision
123                  Evaluation-VGG16_GRU-Inc  Accuracy-1st     4  0.950980                 VGG16-GRU-Inc     VGG16          GRU                  Incision
124                  Evaluation-VGG16_GRU-Inc  Accuracy-1st     5  0.964286                 VGG16-GRU-Inc     VGG16          GRU                  Incision
125                  Evaluation-VGG16_GRU-Inc  Accuracy-2nd     1  0.037037                 VGG16-GRU-Inc     VGG16          GRU                  Incision
126                  Evaluation-VGG16_GRU-Inc  Accuracy-2nd     2  0.081818                 VGG16-GRU-Inc     VGG16          GRU                  Incision
127                  Evaluation-VGG16_GRU-Inc  Accuracy-2nd     3  0.098214                 VGG16-GRU-Inc     VGG16          GRU                  Incision
128                  Evaluation-VGG16_GRU-Inc  Accuracy-2nd     4  0.049020                 VGG16-GRU-Inc     VGG16          GRU                  Incision
129                  Evaluation-VGG16_GRU-Inc  Accuracy-2nd     5  0.035714                 VGG16-GRU-Inc     VGG16          GRU                  Incision
130                  Evaluation-VGG16_GRU-Inc      Accuracy     1  0.962963                 VGG16-GRU-Inc     VGG16          GRU                  Incision
131                  Evaluation-VGG16_GRU-Inc      Accuracy     2  0.918182                 VGG16-GRU-Inc     VGG16          GRU                  Incision
132                  Evaluation-VGG16_GRU-Inc      Accuracy     3  0.901786                 VGG16-GRU-Inc     VGG16          GRU                  Incision
133                  Evaluation-VGG16_GRU-Inc      Accuracy     4  0.950980                 VGG16-GRU-Inc     VGG16          GRU                  Incision
134                  Evaluation-VGG16_GRU-Inc      Accuracy     5  0.964286                 VGG16-GRU-Inc     VGG16          GRU                  Incision
135                 Evaluation-VGG16_LSTM-Inc  Accuracy-1st     1  0.888889                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
136                 Evaluation-VGG16_LSTM-Inc  Accuracy-1st     2  0.900000                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
137                 Evaluation-VGG16_LSTM-Inc  Accuracy-1st     3  0.928571                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
138                 Evaluation-VGG16_LSTM-Inc  Accuracy-1st     4  0.950980                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
139                 Evaluation-VGG16_LSTM-Inc  Accuracy-1st     5  0.937500                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
140                 Evaluation-VGG16_LSTM-Inc  Accuracy-2nd     1  0.111111                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
141                 Evaluation-VGG16_LSTM-Inc  Accuracy-2nd     2  0.100000                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
142                 Evaluation-VGG16_LSTM-Inc  Accuracy-2nd     3  0.071429                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
143                 Evaluation-VGG16_LSTM-Inc  Accuracy-2nd     4  0.049020                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
144                 Evaluation-VGG16_LSTM-Inc  Accuracy-2nd     5  0.062500                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
145                 Evaluation-VGG16_LSTM-Inc      Accuracy     1  0.888889                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
146                 Evaluation-VGG16_LSTM-Inc      Accuracy     2  0.900000                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
147                 Evaluation-VGG16_LSTM-Inc      Accuracy     3  0.928571                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
148                 Evaluation-VGG16_LSTM-Inc      Accuracy     4  0.950980                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
149                 Evaluation-VGG16_LSTM-Inc      Accuracy     5  0.937500                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
150           Evaluation-VGG16_Mamba-best-Inc  Accuracy-1st     1  0.935185          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
151           Evaluation-VGG16_Mamba-best-Inc  Accuracy-1st     2  0.900000          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
152           Evaluation-VGG16_Mamba-best-Inc  Accuracy-1st     3  0.928571          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
153           Evaluation-VGG16_Mamba-best-Inc  Accuracy-1st     4  0.921569          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
154           Evaluation-VGG16_Mamba-best-Inc  Accuracy-1st     5  0.946429          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
155           Evaluation-VGG16_Mamba-best-Inc  Accuracy-2nd     1  0.064815          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
156           Evaluation-VGG16_Mamba-best-Inc  Accuracy-2nd     2  0.100000          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
157           Evaluation-VGG16_Mamba-best-Inc  Accuracy-2nd     3  0.071429          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
158           Evaluation-VGG16_Mamba-best-Inc  Accuracy-2nd     4  0.078431          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
159           Evaluation-VGG16_Mamba-best-Inc  Accuracy-2nd     5  0.053571          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
160           Evaluation-VGG16_Mamba-best-Inc      Accuracy     1  0.935185          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
161           Evaluation-VGG16_Mamba-best-Inc      Accuracy     2  0.900000          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
162           Evaluation-VGG16_Mamba-best-Inc      Accuracy     3  0.928571          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
163           Evaluation-VGG16_Mamba-best-Inc      Accuracy     4  0.921569          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
164           Evaluation-VGG16_Mamba-best-Inc      Accuracy     5  0.946429          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
165          Evaluation-VGG16_Transformer-Inc  Accuracy-1st     1  0.935185         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
166          Evaluation-VGG16_Transformer-Inc  Accuracy-1st     2  0.854545         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
167          Evaluation-VGG16_Transformer-Inc  Accuracy-1st     3  0.937500         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
168          Evaluation-VGG16_Transformer-Inc  Accuracy-1st     4  0.950980         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
169          Evaluation-VGG16_Transformer-Inc  Accuracy-1st     5  0.946429         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
170          Evaluation-VGG16_Transformer-Inc  Accuracy-2nd     1  0.064815         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
171          Evaluation-VGG16_Transformer-Inc  Accuracy-2nd     2  0.145455         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
172          Evaluation-VGG16_Transformer-Inc  Accuracy-2nd     3  0.062500         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
173          Evaluation-VGG16_Transformer-Inc  Accuracy-2nd     4  0.049020         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
174          Evaluation-VGG16_Transformer-Inc  Accuracy-2nd     5  0.053571         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
175          Evaluation-VGG16_Transformer-Inc      Accuracy     1  0.935185         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
176          Evaluation-VGG16_Transformer-Inc      Accuracy     2  0.854545         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
177          Evaluation-VGG16_Transformer-Inc      Accuracy     3  0.937500         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
178          Evaluation-VGG16_Transformer-Inc      Accuracy     4  0.950980         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
179          Evaluation-VGG16_Transformer-Inc      Accuracy     5  0.946429         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
180         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-1st     1  0.824373        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
181         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-1st     2  0.754480        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
182         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-1st     3  0.764925        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
183         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-1st     4  0.836918        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
184         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-1st     5  0.790323        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
185         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-2nd     1  0.175627        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
186         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-2nd     2  0.245520        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
187         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-2nd     3  0.235075        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
188         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-2nd     4  0.163082        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
189         Evaluation-ResNet50_BiGRU-Vis-ACF  Accuracy-2nd     5  0.209677        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
190         Evaluation-ResNet50_BiGRU-Vis-ACF      Accuracy     1  0.824373        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
191         Evaluation-ResNet50_BiGRU-Vis-ACF      Accuracy     2  0.754480        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
192         Evaluation-ResNet50_BiGRU-Vis-ACF      Accuracy     3  0.764925        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
193         Evaluation-ResNet50_BiGRU-Vis-ACF      Accuracy     4  0.836918        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
194         Evaluation-ResNet50_BiGRU-Vis-ACF      Accuracy     5  0.790323        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
