                                  Experiment    Metric  File     Value                         Model       CNN          RNN                     Phase
37               Evaluation-VGG16_BiLSTM-Inc  F1-Score     3  0.928549              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
38               Evaluation-VGG16_BiLSTM-Inc  F1-Score     4  0.941176              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
39               Evaluation-VGG16_BiLSTM-Inc  F1-Score     5  0.946411              VGG16-BiLSTM-Inc     VGG16       BiLSTM                  Incision
40                  Evaluation-VGG16_GRU-Inc  F1-Score     1  0.962912                 VGG16-GRU-Inc     VGG16          GRU                  Incision
41                  Evaluation-VGG16_GRU-Inc  F1-Score     2  0.918121                 VGG16-GRU-Inc     VGG16          GRU                  Incision
42                  Evaluation-VGG16_GRU-Inc  F1-Score     3  0.901778                 VGG16-GRU-Inc     VGG16          GRU                  Incision
43                  Evaluation-VGG16_GRU-Inc  F1-Score     4  0.950976                 VGG16-GRU-Inc     VGG16          GRU                  Incision
44                  Evaluation-VGG16_GRU-Inc  F1-Score     5  0.964274                 VGG16-GRU-Inc     VGG16          GRU                  Incision
45                 Evaluation-VGG16_LSTM-Inc  F1-Score     1  0.888545                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
46                 Evaluation-VGG16_LSTM-Inc  F1-Score     2  0.899593                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
47                 Evaluation-VGG16_LSTM-Inc  F1-Score     3  0.928480                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
48                 Evaluation-VGG16_LSTM-Inc  F1-Score     4  0.950938                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
49                 Evaluation-VGG16_LSTM-Inc  F1-Score     5  0.937375                VGG16-LSTM-Inc     VGG16         LSTM                  Incision
50           Evaluation-VGG16_Mamba-best-Inc  F1-Score     1  0.934912          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
51           Evaluation-VGG16_Mamba-best-Inc  F1-Score     2  0.899992          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
52           Evaluation-VGG16_Mamba-best-Inc  F1-Score     3  0.928480          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
53           Evaluation-VGG16_Mamba-best-Inc  F1-Score     4  0.921569          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
54           Evaluation-VGG16_Mamba-best-Inc  F1-Score     5  0.946411          VGG16-Mamba-best-Inc     VGG16        Mamba                  Incision
55          Evaluation-VGG16_Transformer-Inc  F1-Score     1  0.935046         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
56          Evaluation-VGG16_Transformer-Inc  F1-Score     2  0.854353         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
57          Evaluation-VGG16_Transformer-Inc  F1-Score     3  0.937495         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
58          Evaluation-VGG16_Transformer-Inc  F1-Score     4  0.950938         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
59          Evaluation-VGG16_Transformer-Inc  F1-Score     5  0.946411         VGG16-Transformer-Inc     VGG16  Transformer                  Incision
60         Evaluation-ResNet50_BiGRU-Vis-ACF  F1-Score     1  0.822951        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
61         Evaluation-ResNet50_BiGRU-Vis-ACF  F1-Score     2  0.750440        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
62         Evaluation-ResNet50_BiGRU-Vis-ACF  F1-Score     3  0.757790        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
63         Evaluation-ResNet50_BiGRU-Vis-ACF  F1-Score     4  0.834945        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
64         Evaluation-ResNet50_BiGRU-Vis-ACF  F1-Score     5  0.787952        ResNet50-BiGRU-Vis-ACF  ResNet50        BiGRU  Viscoelastic/AC Flushing
65        Evaluation-ResNet50_BiLSTM-Vis-ACF  F1-Score     1  0.781735       ResNet50-BiLSTM-Vis-ACF  ResNet50       BiLSTM  Viscoelastic/AC Flushing
66        Evaluation-ResNet50_BiLSTM-Vis-ACF  F1-Score     2  0.784237       ResNet50-BiLSTM-Vis-ACF  ResNet50       BiLSTM  Viscoelastic/AC Flushing
67        Evaluation-ResNet50_BiLSTM-Vis-ACF  F1-Score     3  0.725831       ResNet50-BiLSTM-Vis-ACF  ResNet50       BiLSTM  Viscoelastic/AC Flushing
68        Evaluation-ResNet50_BiLSTM-Vis-ACF  F1-Score     4  0.787997       ResNet50-BiLSTM-Vis-ACF  ResNet50       BiLSTM  Viscoelastic/AC Flushing
69        Evaluation-ResNet50_BiLSTM-Vis-ACF  F1-Score     5  0.735618       ResNet50-BiLSTM-Vis-ACF  ResNet50       BiLSTM  Viscoelastic/AC Flushing
70           Evaluation-ResNet50_GRU-Vis-ACF  F1-Score     1  0.801519          ResNet50-GRU-Vis-ACF  ResNet50          GRU  Viscoelastic/AC Flushing
71           Evaluation-ResNet50_GRU-Vis-ACF  F1-Score     2  0.730837          ResNet50-GRU-Vis-ACF  ResNet50          GRU  Viscoelastic/AC Flushing
72           Evaluation-ResNet50_GRU-Vis-ACF  F1-Score     3  0.759140          ResNet50-GRU-Vis-ACF  ResNet50          GRU  Viscoelastic/AC Flushing
73           Evaluation-ResNet50_GRU-Vis-ACF  F1-Score     4  0.778719          ResNet50-GRU-Vis-ACF  ResNet50          GRU  Viscoelastic/AC Flushing
74           Evaluation-ResNet50_GRU-Vis-ACF  F1-Score     5  0.723243          ResNet50-GRU-Vis-ACF  ResNet50          GRU  Viscoelastic/AC Flushing
75          Evaluation-ResNet50_LSTM-Vis-ACF  F1-Score     1  0.781859         ResNet50-LSTM-Vis-ACF  ResNet50         LSTM  Viscoelastic/AC Flushing
76          Evaluation-ResNet50_LSTM-Vis-ACF  F1-Score     2  0.754347         ResNet50-LSTM-Vis-ACF  ResNet50         LSTM  Viscoelastic/AC Flushing
77          Evaluation-ResNet50_LSTM-Vis-ACF  F1-Score     3  0.775507         ResNet50-LSTM-Vis-ACF  ResNet50         LSTM  Viscoelastic/AC Flushing
78          Evaluation-ResNet50_LSTM-Vis-ACF  F1-Score     4  0.784935         ResNet50-LSTM-Vis-ACF  ResNet50         LSTM  Viscoelastic/AC Flushing
79          Evaluation-ResNet50_LSTM-Vis-ACF  F1-Score     5  0.743460         ResNet50-LSTM-Vis-ACF  ResNet50         LSTM  Viscoelastic/AC Flushing
80    Evaluation-ResNet50_Mamba-best-Vis-ACF  F1-Score     1  0.778373   ResNet50-Mamba-best-Vis-ACF  ResNet50        Mamba  Viscoelastic/AC Flushing
81    Evaluation-ResNet50_Mamba-best-Vis-ACF  F1-Score     2  0.709283   ResNet50-Mamba-best-Vis-ACF  ResNet50        Mamba  Viscoelastic/AC Flushing
82    Evaluation-ResNet50_Mamba-best-Vis-ACF  F1-Score     3  0.766424   ResNet50-Mamba-best-Vis-ACF  ResNet50        Mamba  Viscoelastic/AC Flushing
83    Evaluation-ResNet50_Mamba-best-Vis-ACF  F1-Score     4  0.790128   ResNet50-Mamba-best-Vis-ACF  ResNet50        Mamba  Viscoelastic/AC Flushing
84    Evaluation-ResNet50_Mamba-best-Vis-ACF  F1-Score     5  0.738868   ResNet50-Mamba-best-Vis-ACF  ResNet50        Mamba  Viscoelastic/AC Flushing
85   Evaluation-ResNet50_Transformer-Vis-ACF  F1-Score     1  0.810115  ResNet50-Transformer-Vis-ACF  ResNet50  Transformer  Viscoelastic/AC Flushing
86   Evaluation-ResNet50_Transformer-Vis-ACF  F1-Score     2  0.804654  ResNet50-Transformer-Vis-ACF  ResNet50  Transformer  Viscoelastic/AC Flushing
87   Evaluation-ResNet50_Transformer-Vis-ACF  F1-Score     3  0.745253  ResNet50-Transformer-Vis-ACF  ResNet50  Transformer  Viscoelastic/AC Flushing
88   Evaluation-ResNet50_Transformer-Vis-ACF  F1-Score     4  0.834436  ResNet50-Transformer-Vis-ACF  ResNet50  Transformer  Viscoelastic/AC Flushing
89   Evaluation-ResNet50_Transformer-Vis-ACF  F1-Score     5  0.777294  ResNet50-Transformer-Vis-ACF  ResNet50  Transformer  Viscoelastic/AC Flushing
90            Evaluation-VGG16_BiGRU-Vis-ACF  F1-Score     1  0.781337           VGG16-BiGRU-Vis-ACF     VGG16        BiGRU  Viscoelastic/AC Flushing
91            Evaluation-VGG16_BiGRU-Vis-ACF  F1-Score     2  0.764564           VGG16-BiGRU-Vis-ACF     VGG16        BiGRU  Viscoelastic/AC Flushing
92            Evaluation-VGG16_BiGRU-Vis-ACF  F1-Score     3  0.709119           VGG16-BiGRU-Vis-ACF     VGG16        BiGRU  Viscoelastic/AC Flushing
93            Evaluation-VGG16_BiGRU-Vis-ACF  F1-Score     4  0.756072           VGG16-BiGRU-Vis-ACF     VGG16        BiGRU  Viscoelastic/AC Flushing
94            Evaluation-VGG16_BiGRU-Vis-ACF  F1-Score     5  0.703714           VGG16-BiGRU-Vis-ACF     VGG16        BiGRU  Viscoelastic/AC Flushing
95           Evaluation-VGG16_BiLSTM-Vis-ACF  F1-Score     1  0.711424          VGG16-BiLSTM-Vis-ACF     VGG16       BiLSTM  Viscoelastic/AC Flushing
96           Evaluation-VGG16_BiLSTM-Vis-ACF  F1-Score     2  0.747272          VGG16-BiLSTM-Vis-ACF     VGG16       BiLSTM  Viscoelastic/AC Flushing
97           Evaluation-VGG16_BiLSTM-Vis-ACF  F1-Score     3  0.725831          VGG16-BiLSTM-Vis-ACF     VGG16       BiLSTM  Viscoelastic/AC Flushing
98           Evaluation-VGG16_BiLSTM-Vis-ACF  F1-Score     4  0.732782          VGG16-BiLSTM-Vis-ACF     VGG16       BiLSTM  Viscoelastic/AC Flushing
99           Evaluation-VGG16_BiLSTM-Vis-ACF  F1-Score     5  0.677870          VGG16-BiLSTM-Vis-ACF     VGG16       BiLSTM  Viscoelastic/AC Flushing
100             Evaluation-VGG16_GRU-Vis-ACF  F1-Score     1  0.725825             VGG16-GRU-Vis-ACF     VGG16          GRU  Viscoelastic/AC Flushing
101             Evaluation-VGG16_GRU-Vis-ACF  F1-Score     2  0.698367             VGG16-GRU-Vis-ACF     VGG16          GRU  Viscoelastic/AC Flushing
102             Evaluation-VGG16_GRU-Vis-ACF  F1-Score     3  0.704891             VGG16-GRU-Vis-ACF     VGG16          GRU  Viscoelastic/AC Flushing
103             Evaluation-VGG16_GRU-Vis-ACF  F1-Score     4  0.762501             VGG16-GRU-Vis-ACF     VGG16          GRU  Viscoelastic/AC Flushing
104             Evaluation-VGG16_GRU-Vis-ACF  F1-Score     5  0.676917             VGG16-GRU-Vis-ACF     VGG16          GRU  Viscoelastic/AC Flushing
105            Evaluation-VGG16_LSTM-Vis-ACF  F1-Score     1  0.754736            VGG16-LSTM-Vis-ACF     VGG16         LSTM  Viscoelastic/AC Flushing
106            Evaluation-VGG16_LSTM-Vis-ACF  F1-Score     2  0.754195            VGG16-LSTM-Vis-ACF     VGG16         LSTM  Viscoelastic/AC Flushing
107            Evaluation-VGG16_LSTM-Vis-ACF  F1-Score     3  0.727369            VGG16-LSTM-Vis-ACF     VGG16         LSTM  Viscoelastic/AC Flushing
108            Evaluation-VGG16_LSTM-Vis-ACF  F1-Score     4  0.791729            VGG16-LSTM-Vis-ACF     VGG16         LSTM  Viscoelastic/AC Flushing
109            Evaluation-VGG16_LSTM-Vis-ACF  F1-Score     5  0.681395            VGG16-LSTM-Vis-ACF     VGG16         LSTM  Viscoelastic/AC Flushing
110      Evaluation-VGG16_Mamba-best-Vis-ACF  F1-Score     1  0.758064      VGG16-Mamba-best-Vis-ACF     VGG16        Mamba  Viscoelastic/AC Flushing
111      Evaluation-VGG16_Mamba-best-Vis-ACF  F1-Score     2  0.727585      VGG16-Mamba-best-Vis-ACF     VGG16        Mamba  Viscoelastic/AC Flushing
112      Evaluation-VGG16_Mamba-best-Vis-ACF  F1-Score     3  0.648643      VGG16-Mamba-best-Vis-ACF     VGG16        Mamba  Viscoelastic/AC Flushing
113      Evaluation-VGG16_Mamba-best-Vis-ACF  F1-Score     4  0.767796      VGG16-Mamba-best-Vis-ACF     VGG16        Mamba  Viscoelastic/AC Flushing
114      Evaluation-VGG16_Mamba-best-Vis-ACF  F1-Score     5  0.716668      VGG16-Mamba-best-Vis-ACF     VGG16        Mamba  Viscoelastic/AC Flushing
115     Evaluation-VGG16_Transformer-Vis-ACF  F1-Score     1  0.786238     VGG16-Transformer-Vis-ACF     VGG16  Transformer  Viscoelastic/AC Flushing
116     Evaluation-VGG16_Transformer-Vis-ACF  F1-Score     2  0.746530     VGG16-Transformer-Vis-ACF     VGG16  Transformer  Viscoelastic/AC Flushing
117     Evaluation-VGG16_Transformer-Vis-ACF  F1-Score     3  0.729227     VGG16-Transformer-Vis-ACF     VGG16  Transformer  Viscoelastic/AC Flushing
118     Evaluation-VGG16_Transformer-Vis-ACF  F1-Score     4  0.815725     VGG16-Transformer-Vis-ACF     VGG16  Transformer  Viscoelastic/AC Flushing
119     Evaluation-VGG16_Transformer-Vis-ACF  F1-Score     5  0.753014     VGG16-Transformer-Vis-ACF     VGG16  Transformer  Viscoelastic/AC Flushing
120            Evaluation-ResNet50_BiGRU-Cap  F1-Score     1  0.787159            ResNet50-BiGRU-Cap  ResNet50        BiGRU             Capsulorhexis
121            Evaluation-ResNet50_BiGRU-Cap  F1-Score     2  0.888467            ResNet50-BiGRU-Cap  ResNet50        BiGRU             Capsulorhexis
122            Evaluation-ResNet50_BiGRU-Cap  F1-Score     3  0.868217            ResNet50-BiGRU-Cap  ResNet50        BiGRU             Capsulorhexis
123            Evaluation-ResNet50_BiGRU-Cap  F1-Score     4  0.876776            ResNet50-BiGRU-Cap  ResNet50        BiGRU             Capsulorhexis
124            Evaluation-ResNet50_BiGRU-Cap  F1-Score     5  0.876070            ResNet50-BiGRU-Cap  ResNet50        BiGRU             Capsulorhexis
125           Evaluation-ResNet50_BiLSTM-Cap  F1-Score     1  0.866229           ResNet50-BiLSTM-Cap  ResNet50       BiLSTM             Capsulorhexis
126           Evaluation-ResNet50_BiLSTM-Cap  F1-Score     2  0.864933           ResNet50-BiLSTM-Cap  ResNet50       BiLSTM             Capsulorhexis
127           Evaluation-ResNet50_BiLSTM-Cap  F1-Score     3  0.815243           ResNet50-BiLSTM-Cap  ResNet50       BiLSTM             Capsulorhexis
128           Evaluation-ResNet50_BiLSTM-Cap  F1-Score     4  0.858516           ResNet50-BiLSTM-Cap  ResNet50       BiLSTM             Capsulorhexis
129           Evaluation-ResNet50_BiLSTM-Cap  F1-Score     5  0.842851           ResNet50-BiLSTM-Cap  ResNet50       BiLSTM             Capsulorhexis
130              Evaluation-ResNet50_GRU-Cap  F1-Score     1  0.884579              ResNet50-GRU-Cap  ResNet50          GRU             Capsulorhexis
131              Evaluation-ResNet50_GRU-Cap  F1-Score     2  0.867107              ResNet50-GRU-Cap  ResNet50          GRU             Capsulorhexis
132              Evaluation-ResNet50_GRU-Cap  F1-Score     3  0.846031              ResNet50-GRU-Cap  ResNet50          GRU             Capsulorhexis
133              Evaluation-ResNet50_GRU-Cap  F1-Score     4  0.853488              ResNet50-GRU-Cap  ResNet50          GRU             Capsulorhexis
134              Evaluation-ResNet50_GRU-Cap  F1-Score     5  0.875174              ResNet50-GRU-Cap  ResNet50          GRU             Capsulorhexis
135             Evaluation-ResNet50_LSTM-Cap  F1-Score     1  0.844357             ResNet50-LSTM-Cap  ResNet50         LSTM             Capsulorhexis
136             Evaluation-ResNet50_LSTM-Cap  F1-Score     2  0.868729             ResNet50-LSTM-Cap  ResNet50         LSTM             Capsulorhexis
137             Evaluation-ResNet50_LSTM-Cap  F1-Score     3  0.782824             ResNet50-LSTM-Cap  ResNet50         LSTM             Capsulorhexis
138             Evaluation-ResNet50_LSTM-Cap  F1-Score     4  0.842559             ResNet50-LSTM-Cap  ResNet50         LSTM             Capsulorhexis
139             Evaluation-ResNet50_LSTM-Cap  F1-Score     5  0.839047             ResNet50-LSTM-Cap  ResNet50         LSTM             Capsulorhexis
140       Evaluation-ResNet50_Mamba-best-Cap  F1-Score     1  0.758152       ResNet50-Mamba-best-Cap  ResNet50        Mamba             Capsulorhexis
141       Evaluation-ResNet50_Mamba-best-Cap  F1-Score     2  0.873774       ResNet50-Mamba-best-Cap  ResNet50        Mamba             Capsulorhexis
142       Evaluation-ResNet50_Mamba-best-Cap  F1-Score     3  0.842024       ResNet50-Mamba-best-Cap  ResNet50        Mamba             Capsulorhexis
143       Evaluation-ResNet50_Mamba-best-Cap  F1-Score     4  0.819508       ResNet50-Mamba-best-Cap  ResNet50        Mamba             Capsulorhexis
144       Evaluation-ResNet50_Mamba-best-Cap  F1-Score     5  0.817742       ResNet50-Mamba-best-Cap  ResNet50        Mamba             Capsulorhexis
145      Evaluation-ResNet50_Transformer-Cap  F1-Score     1  0.895595      ResNet50-Transformer-Cap  ResNet50  Transformer             Capsulorhexis
146      Evaluation-ResNet50_Transformer-Cap  F1-Score     2  0.880977      ResNet50-Transformer-Cap  ResNet50  Transformer             Capsulorhexis
147      Evaluation-ResNet50_Transformer-Cap  F1-Score     3  0.832145      ResNet50-Transformer-Cap  ResNet50  Transformer             Capsulorhexis
148      Evaluation-ResNet50_Transformer-Cap  F1-Score     4  0.846341      ResNet50-Transformer-Cap  ResNet50  Transformer             Capsulorhexis
149      Evaluation-ResNet50_Transformer-Cap  F1-Score     5  0.857871      ResNet50-Transformer-Cap  ResNet50  Transformer             Capsulorhexis
150               Evaluation-VGG16_BiGRU-Cap  F1-Score     1  0.861459               VGG16-BiGRU-Cap     VGG16        BiGRU             Capsulorhexis
151               Evaluation-VGG16_BiGRU-Cap  F1-Score     2  0.868868               VGG16-BiGRU-Cap     VGG16        BiGRU             Capsulorhexis
152               Evaluation-VGG16_BiGRU-Cap  F1-Score     3  0.872479               VGG16-BiGRU-Cap     VGG16        BiGRU             Capsulorhexis
153               Evaluation-VGG16_BiGRU-Cap  F1-Score     4  0.854873               VGG16-BiGRU-Cap     VGG16        BiGRU             Capsulorhexis
154               Evaluation-VGG16_BiGRU-Cap  F1-Score     5  0.894349               VGG16-BiGRU-Cap     VGG16        BiGRU             Capsulorhexis
155              Evaluation-VGG16_BiLSTM-Cap  F1-Score     1  0.903080              VGG16-BiLSTM-Cap     VGG16       BiLSTM             Capsulorhexis
156              Evaluation-VGG16_BiLSTM-Cap  F1-Score     2  0.890599              VGG16-BiLSTM-Cap     VGG16       BiLSTM             Capsulorhexis
157              Evaluation-VGG16_BiLSTM-Cap  F1-Score     3  0.812205              VGG16-BiLSTM-Cap     VGG16       BiLSTM             Capsulorhexis
158              Evaluation-VGG16_BiLSTM-Cap  F1-Score     4  0.845083              VGG16-BiLSTM-Cap     VGG16       BiLSTM             Capsulorhexis
159              Evaluation-VGG16_BiLSTM-Cap  F1-Score     5  0.874008              VGG16-BiLSTM-Cap     VGG16       BiLSTM             Capsulorhexis
160                 Evaluation-VGG16_GRU-Cap  F1-Score     1  0.885843                 VGG16-GRU-Cap     VGG16          GRU             Capsulorhexis
161                 Evaluation-VGG16_GRU-Cap  F1-Score     2  0.882282                 VGG16-GRU-Cap     VGG16          GRU             Capsulorhexis
162                 Evaluation-VGG16_GRU-Cap  F1-Score     3  0.786848                 VGG16-GRU-Cap     VGG16          GRU             Capsulorhexis
163                 Evaluation-VGG16_GRU-Cap  F1-Score     4  0.810852                 VGG16-GRU-Cap     VGG16          GRU             Capsulorhexis
164                 Evaluation-VGG16_GRU-Cap  F1-Score     5  0.880502                 VGG16-GRU-Cap     VGG16          GRU             Capsulorhexis
165                Evaluation-VGG16_LSTM-Cap  F1-Score     1  0.846786                VGG16-LSTM-Cap     VGG16         LSTM             Capsulorhexis
166                Evaluation-VGG16_LSTM-Cap  F1-Score     2  0.915440                VGG16-LSTM-Cap     VGG16         LSTM             Capsulorhexis
167                Evaluation-VGG16_LSTM-Cap  F1-Score     3  0.823885                VGG16-LSTM-Cap     VGG16         LSTM             Capsulorhexis
168                Evaluation-VGG16_LSTM-Cap  F1-Score     4  0.839413                VGG16-LSTM-Cap     VGG16         LSTM             Capsulorhexis
169                Evaluation-VGG16_LSTM-Cap  F1-Score     5  0.890650                VGG16-LSTM-Cap     VGG16         LSTM             Capsulorhexis
170          Evaluation-VGG16_Mamba-best-Cap  F1-Score     1  0.786043          VGG16-Mamba-best-Cap     VGG16        Mamba             Capsulorhexis
171          Evaluation-VGG16_Mamba-best-Cap  F1-Score     2  0.901958          VGG16-Mamba-best-Cap     VGG16        Mamba             Capsulorhexis
172          Evaluation-VGG16_Mamba-best-Cap  F1-Score     3  0.783218          VGG16-Mamba-best-Cap     VGG16        Mamba             Capsulorhexis
173          Evaluation-VGG16_Mamba-best-Cap  F1-Score     4  0.817837          VGG16-Mamba-best-Cap     VGG16        Mamba             Capsulorhexis
174          Evaluation-VGG16_Mamba-best-Cap  F1-Score     5  0.852065          VGG16-Mamba-best-Cap     VGG16        Mamba             Capsulorhexis
175         Evaluation-VGG16_Transformer-Cap  F1-Score     1  0.851087         VGG16-Transformer-Cap     VGG16  Transformer             Capsulorhexis
176         Evaluation-VGG16_Transformer-Cap  F1-Score     2  0.876379         VGG16-Transformer-Cap     VGG16  Transformer             Capsulorhexis
177         Evaluation-VGG16_Transformer-Cap  F1-Score     3  0.807741         VGG16-Transformer-Cap     VGG16  Transformer             Capsulorhexis
178         Evaluation-VGG16_Transformer-Cap  F1-Score     4  0.892680         VGG16-Transformer-Cap     VGG16  Transformer             Capsulorhexis
179         Evaluation-VGG16_Transformer-Cap  F1-Score     5  0.845967         VGG16-Transformer-Cap     VGG16  Transformer             Capsulorhexis
180            Evaluation-ResNet50_BiGRU-Hyd  F1-Score     1  0.856872            ResNet50-BiGRU-Hyd  ResNet50        BiGRU           Hydrodissection
181            Evaluation-ResNet50_BiGRU-Hyd  F1-Score     2  0.817107            ResNet50-BiGRU-Hyd  ResNet50        BiGRU           Hydrodissection
182            Evaluation-ResNet50_BiGRU-Hyd  F1-Score     3  0.825320            ResNet50-BiGRU-Hyd  ResNet50        BiGRU           Hydrodissection
183            Evaluation-ResNet50_BiGRU-Hyd  F1-Score     4  0.798844            ResNet50-BiGRU-Hyd  ResNet50        BiGRU           Hydrodissection
184            Evaluation-ResNet50_BiGRU-Hyd  F1-Score     5  0.863016            ResNet50-BiGRU-Hyd  ResNet50        BiGRU           Hydrodissection
185           Evaluation-ResNet50_BiLSTM-Hyd  F1-Score     1  0.849031           ResNet50-BiLSTM-Hyd  ResNet50       BiLSTM           Hydrodissection
